"word","freq"
"mematikan",1
"menangk",1
"himbauan",1
"atensi",1
"eka",1
"gede",1
"kaja",1
"kerobokan",1
"pratama",1
"beujuan",1
"perl…",1
"banyaknya",1
"sam…",1
"progra…",1
"ragu",1
"teman",1
"juml…",1
"bantuan",1
"aka…",1
"menahanmencadangkan",1
"skema",1
"stock",1
"dijamin",1
"efektivita",1
"zeneca",1
"oya",1
"selanju…",1
"gae",1
"teruji",1
"melindungi",1
"menghambat",1
"referensi",1
"jad…",1
"klini",1
"merk",1
"uji",1
"semalam…",1
"bekonang",1
"blk",1
"mojolaban",1
"mojolaban…",1
"sesuaii",1
"takuttt",1
"tubuhmu",1
"mestin",1
"gpppent",1
"coronavacmoderna",1
"informasivaksinasi",1
"malem",1
"abdul",1
"hadi",1
"husni",1
"icymi",1
"khusus",1
"mega",1
"pengurus",1
"wtc",1
"zaeem",1
"bentar",1
"dikandangin",1
"ngamuk",1
"nga…",1
"beka",1
"nyeri",1
"rada",1
"udahhsyukur",1
"beij",1
"johnson",1
"sputnik",1
"sput…",1
"nyaapa",1
"filipina",1
"sinopha…",1
"bilsng",1
"bedabeda",1
"enak",1
"in…",1
"karantina",1
"korea",1
"ndak",1
"bah",1
"diperbolehkan",1
"johnsonampjohnson",1
"memperbolehkan",1
"sm…",1
"digor",1
"tis",1
"adi",1
"dul…",1
"meny",1
"tawaran",1
"syukurlah",1
"belumkalau",1
"kenadont",1
"kenal",1
"sapa",1
"worri",1
"dipastiin",1
"kualita",1
"akupun",1
"dih",1
"gpp",1
"kakakku",1
"ampun",1
"dap…",1
"nyamain",1
"okaay",1
"shshs",1
"susahnya",1
"jraknya",1
"sendernya",1
"panik",1
"takaran",1
"acut",1
"east",1
"mer",1
"middl",1
"sever",1
"cor…",1
"kelompok",1
"health",1
"mendeklarasikan",1
"organ",1
"resmi",1
"world",1
"berkarya",1
"dpd",1
"suntikkan",1
"covidvaxexpo",1
"benar",1
"penggumpalan…",1
"diakui",1
"dorong",1
"pdiperjuangan",1
"rahmad",1
"moderna…",1
"adaa",1
"sukagum…",1
"kegiata…",1
"aluminium",1
"angin",1
"bendulbukan",1
"jarum",1
"selepassemua",1
"tgk",1
"kaki",1
"konspirasi",1
"lol",1
"paksa",1
"sesuka",1
"tangkap",1
"tuduh",1
"vaxxtremist",1
"dibincangkan",1
"hallo",1
"ksr",1
"ni…",1
"beba",1
"mah",1
"sesuai",1
"pasie…",1
"input",1
"beranak",1
"dp…",1
"seolaholah",1
"link…",1
"bermakna",1
"clear",1
"dijangk",1
"post",1
"domisili",1
"mengkuti…",1
"saudaraku",1
"segenap",1
"yth",1
"aparatur",1
"bersenjata",1
"binpolisi",1
"digerakkan",1
"mengawasi",1
"azri",1
"iskandar",1
"mengesahkan",1
"ogo",1
"pelakon",1
"dis…",1
"ehrlich",1
"institut",1
"kematian",1
"paul",1
"tercatat",1
"bulanan",1
"gokil",1
"kynya",1
"schedul",1
"telat",1
"berpegang",1
"kesalahan",1
"perlembagaan",1
"untk",1
"medic",1
"practit",1
"bonarjo",1
"jtrg",1
"kukira",1
"mweheheh",1
"ngelawak",1
"ohh",1
"cer",1
"eeeee",1
"flag",1
"generali",1
"konspira…",1
"microchip",1
"reason",1
"red",1
"masal…",1
"app",1
"lin…",1
"ram…",1
"bandingkan",1
"band…",1
"pekerjaan",1
"setuju",1
"lohhh",1
"pf…",1
"sblmya",1
"sejeni",1
"twitter",1
"golongan…",1
"gokar",1
"bac…",1
"diambil",1
"keberkesanan",1
"segi",1
"faktor",1
"membolehkannya",1
"status",1
"vaksinansi",1
"khami…",1
"disebabkan",1
"guruguru",1
"kela",1
"dos…",1
"sekurangkurangnya",1
"bet",1
"gila",1
"kenceng",1
"donat",1
"estimasi",1
"obatnya",1
"open",1
"thread",1
"assalammualaikumharap",1
"quarantin",1
"yng",1
"adult",1
"benarkan",1
"remain",1
"still",1
"those",1
"unvaccina…",1
"al…",1
"bayi",1
"bpolio…",1
"first",1
"hpvhipeiti",1
"vaksinbaik",1
"biolog",1
"membaca",1
"menghaf",1
"pengambi…",1
"subjek",1
"bruce",1
"superman",1
"trima",1
"wayn",1
"daftar…",1
"halodoc",1
"oooogitu",1
"yaaakirain",1
"keje",1
"kerjasama",1
"mengamuk",1
"rekod",1
"takmau",1
"ay…",1
"famili",1
"hasil",1
"kecik",1
"kepincangan",1
"prose",1
"loh",1
"reaksi",1
"seminggu",1
"berfungsi",1
"dinein…",1
"meroyan",1
"patutlah",1
